# All times in milliseconds (msec)
# Column 1 = input data size
# Column 2 = array map insert
# Column 3 = linked map insert
# Column 4 = array map erase
# Column 5 = linked map erase
# Column 6 = array map contains
# Column 7 = linked map contains
# Column 8 = array map find range
# Column 9 = linked map find range
# Column 10 = array map next key
# Column 11 = linked map next key
# Column 12 = array map sorted keys
# Column 13 = linked map sorted keys
0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
2000 0.00 0.00 0.03 9.52 0.01 4.02 0.01 7.65 0.01 7.81 0.17 4.24 
4000 0.00 0.00 0.03 33.13 0.02 16.95 0.03 30.40 0.02 30.85 0.34 16.50 
6000 0.00 0.00 0.05 72.33 0.02 36.30 0.05 71.39 0.03 66.70 0.56 38.82 
8000 0.00 0.00 0.08 136.26 0.03 65.31 0.05 117.13 0.04 117.04 0.74 67.07 
10000 0.00 0.00 0.08 208.92 0.04 103.82 0.06 183.02 0.06 175.64 0.86 101.00 
12000 0.00 0.00 0.10 300.71 0.05 152.39 0.08 260.51 0.07 257.63 1.12 153.82 
14000 0.00 0.00 0.11 412.90 0.06 204.04 0.08 326.46 0.07 326.28 1.23 203.10 
16000 0.00 0.00 0.13 532.71 0.06 263.57 0.09 436.10 0.09 438.82 1.57 271.04 
18000 0.00 0.00 0.16 692.15 0.08 339.78 0.11 547.12 0.10 538.09 1.78 342.93 
20000 0.00 0.00 0.16 844.40 0.08 419.50 0.11 624.47 0.10 642.10 2.06 426.90 
