# All times in milliseconds (msec)
# Column 1 = input data size
# Column 2 = array map insert
# Column 3 = binsearch map insert
# Column 4 = array map erase
# Column 5 = binsearch map erase
# Column 6 = array map contains
# Column 7 = binsearch map contains
# Column 8 = array map find range
# Column 9 = binsearch map find range
# Column 10 = array map next key
# Column 11 = binsearch map next key
# Column 12 = array map sorted keys
# Column 13 = binsearch map sorted keys
0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
5000 0.00 0.02 0.04 0.02 0.02 0.00 0.03 0.00 0.03 0.00 0.45 0.07 
10000 0.00 0.03 0.09 0.04 0.04 0.00 0.06 0.00 0.07 0.00 0.93 0.14 
15000 0.00 0.05 0.17 0.05 0.07 0.00 0.10 0.13 0.11 0.00 1.47 0.18 
20000 0.00 0.06 0.20 0.07 0.08 0.00 0.13 0.00 0.17 0.00 1.95 0.26 
25000 0.00 0.07 0.21 0.08 0.11 0.00 0.17 0.39 0.17 0.00 2.45 0.31 
30000 0.00 0.08 0.26 0.09 0.13 0.00 0.19 0.53 0.18 0.00 3.03 0.37 
35000 0.00 0.08 0.30 0.09 0.15 0.00 0.21 0.00 0.20 0.00 3.56 0.52 
40000 0.00 0.09 0.35 0.11 0.18 0.00 0.27 0.98 0.24 0.00 4.15 0.54 
45000 0.00 0.10 0.40 0.11 0.20 0.00 0.33 1.24 0.29 0.00 4.69 0.58 
50000 0.00 0.11 0.44 0.11 0.23 0.00 0.32 1.54 0.28 0.00 5.33 0.64 
